a/9-11stamp.htm,The new September 11 postage stamp,A picture of a painting that is said to be the design of a new U.S. postage stamp remembering the Attack on America on September 11 2001.  ,0
a/a-card-for-you.htm,"A Card for You" "Virtual Card For You" or "Postcard" Virus Warning or hoax,The eRumor warns of a virus just discovered by Mcafee or Norton and classed by Microsoft as the most destructive ever. It says the virus destroys "Sector Zero" from the hard disk sends itself to all the names in your email address book wipes out the hard disk and has caused a panic in New York according to CNN.It says that the subject will be "A Card for You" "Virtual Card for You" or "Postcard."  Some versions also say the subject will be "Postcard from Hallmark."  ,1
a/aandf.htm,Abercrombie & Fitch boycott,An email said to be from Lt. Governor Corinne Wood urges a boycott of Abercrombie & Fitch.  ,1
a/aaronsteinmetz.htm,Aaron Russell Steinmetz missing in Florida,An email from Amanda Steinmetz of Summerfield Florida says her 3 1/2 year old son is missing and was last seen with his father.   ,1
a/abc-jesus.htm,ABC bleeps "Jesus" from the delayed broadcast of a TV Show,It is alleged that ABC edited out the use of the name "Jesus" in a release of the morning talk show THE VIEW.  The eRumor says that Joy Behar one of the hosts of the show issued a heart-felt "Thank you Jesus" for the success of her weight-loss campaign.  Her reference to Jesus was broadcast during the live show but on the delayed West Coast release of the program it was allegedly blocked.   ,1
a/abc-practice.htm,ABC-insulting letter to TV viewer,An Arkansas man says he sent an email to ABC complaining about the homosexual content of an episode of the television program "The Practice."  In his email he quoted the Bible.  He says he received a response from ABC that was insulting to his faith and among other things said "Try thinking for yourself and stop using an archaic book of stories as your crutch for your existence."  ,1
a/abduction-tips.htm,Abduction Warnings and Tips,A list of things to do and not do to either avoid being abducted or how to respond if abducted.   ,0
a/abortion_survivor.htm,Abortion survivor's surprise appearance in the ColoradoLegislature,A first-person account from Ted Harvey of the Colorado House of Representatives.  He is a pro-life Republican.  On a day when the House was going to pass a resolution marking the 90th anniversary of Planned Parenthood of the Rocky Mountains he introduced a special guest who charmed the representatives with her presence and her singing.  She was Gianna Jesson a young singer from Nashville who has cerebral palsy. What Harvey did not say until the very end is that she is an abortion survivor.  ,1
a/aclu-lewis.htm,Chairman of Progressive Insurance Peter Lewis Donated Millions to Left Wing Organizations,This is a forwarded email that says millions of dollars in political contributions  have been donated to the American Civil Liberties Union and Moveon.Org by the chairman of Progressive Insurance Peter Lewis.       ,1
a/aclu-marines.htm,ACLU Opposition to Marines Praying,The eRumor is accompanied by a picture with a group of Marines bowed in prayer.It quotes an ACLU spokesperson named Lucius Traveler as saying that they are government employees who are on government property and that such prayer needs to be stopped.   ,0
